,question,entity,triplet
28,宋诗别裁集是出自哪个朝代？,宋诗别裁集,宋诗别裁集 ||| 年代 ||| 清
29,谁知道延福寺再次修建时什么时候？,延福寺,延福寺（广东省汕头市澄海区莲下镇渡亭乡延福寺） ||| 重建时间 ||| 清乾隆壬申十七年
30,Mozilla Sunbird是什么时候发布的你知道吗？,Mozilla Sunbird,Mozilla Sunbird ||| 发布日期 ||| 2003年7月
31,请问麻杏苡甘汤主要适用于什么病症？,麻杏苡甘汤,麻杏苡甘汤 ||| 主要适用症 ||| 解表祛湿
32,大家知道DP-12的编号吗？,DP-12,DP-12（游戏《少女前线》中的角色） ||| 编号 ||| No.282
33,二十二根特指什么？,二十二根,二十二根 ||| 特指 ||| 于事特有增上义之二十二种法
34,谁知道陶瓷的主编是谁？,陶瓷,陶瓷（专业技术期刊） ||| 主编 ||| 苑克兴
35,完美的法人代表人是谁？,完美有限公司,完美（中国）有限公司 ||| 法定代表人 ||| 古润金
36,奔跑吧兄弟第四季有哪个频道播出？,奔跑吧兄弟第四季,奔跑吧兄弟第四季 ||| 播出频道 ||| 浙江卫视
37,你知道中印边境自卫反击战的战绩如何吗？,中印边境自卫反击战,中印边境自卫反击战 ||| 结果 ||| 中国获胜，印度惨败
38,萌宠属于什么？,萌宠,萌宠 ||| 种类 ||| 现实世界和文学作品的动物
39,请问漕河泾实业大厦属于什么类型的产权？,漕河泾实业大厦,漕河泾实业大厦 ||| 产权类型 ||| 商品房
40,你知道私立广东国民大学是属于什么时间的吗？,私立广东国民大学,私立广东国民大学 ||| 创办时间 ||| 1925年9月
41,花椒毒素的毒性如何？,花椒毒素,花椒毒素 ||| 毒性 ||| 小鼠 LD50为468mg/kg
42,帕西法厄是哪国的神话？,帕西法厄,帕西法厄 ||| 神话体系 ||| 希腊神话
43,我想知道成都地铁14号线是以什么颜色为代表的？,成都地铁14号线,成都地铁14号线 ||| 代表色 ||| 浅绿色
44,斯柯达速派的油箱容积是多少？,斯柯达速派,斯柯达速派 ||| 油箱容积 ||| 68.5L
45,颚口动物门的数量有多少啊？,颚口动物门,颚口动物门 ||| 数量 ||| 18个属，大约有100种
46,请问F-22战斗机是哪个国家的？,F-22战斗机,F-22战斗机 ||| 国家 ||| 美国
47,MINI COUPE的车身重量是多少？,MINI COUPE,MINI COUPE ||| 车身重量 ||| 1135~1250kg
48,紫色的频率是多啊？,紫色,紫色（一种颜色） ||| 频率 ||| 700~790THz(对应空气中波长430~380nm)
49,西扬威胡同的全长是多少？,西扬威胡同,西扬威胡同 ||| 全长 ||| 226米
50,你知道枡山宪三的中文名是什么吗？,枡山宪三,枡山宪三 ||| 中文名 ||| 枡山宪三
51,我想请问一下影片生化奇兵：无限是哪个公司发行的？,生化奇兵：无限,生化奇兵：无限 ||| 发行公司 ||| 2K Games
52,马莱的主要民族是什么你知道吗？,马莱,马莱（日本漫画《进击的巨人》中的国家） ||| 主要民族 ||| 艾尔迪亚，马莱
53,请问英雄传奇是什么操作系统的？,英雄传奇,英雄传奇（1989年Dos系统下的单机游戏） ||| 操作系统 ||| DOS
54,请问任安是什么时候出生的？,任安,任安（北宋历史人物） ||| 出生时间 ||| 1119
55,布灵顿俱乐部啥时候建立的呀？,布灵顿俱乐部,布灵顿俱乐部 ||| 创建时间 ||| 1780年
56,你知道佐贺偶像是传奇 Revenge有什么音乐吗？,佐贺偶像是传奇 Revenge,佐贺偶像是传奇 Revenge ||| 音乐 ||| 高梨康治、Funta7
57,我想知道湿毒清胶囊还有多久过期？,湿毒清胶囊,湿毒清胶囊 ||| 有效期 ||| 36个月
58,请问胶州湾的南北有多长？,胶州湾,胶州湾 ||| 南北长 ||| 40公里左右
59,鞋底成本是谁提出的？,鞋底成本,鞋底成本 ||| 提出者 ||| 格里高利·曼昆
60,你知道榎木实的哥哥是谁吗？,榎木实,榎木实 ||| 哥哥 ||| 榎木拓也
61,美咲美优是哪个运动队的？,美咲美优,美咲美优（广州亚运会日本代表团成员） ||| 所属运动队 ||| 2010年广州亚运会日本代表团成员
62,超现实主义宣言的出版时间是什么时候？,超现实主义宣言,超现实主义宣言（2010年12月重庆大学出版社出版的图书） ||| 出版日期 ||| 2010年12月
63,请问沃尔沃C30的座位是什么材质的啊？,沃尔沃C30,沃尔沃C30 ||| 座位材质 ||| 真皮
64,你知道武汉大学简帛研究中心是什么时候创办的吗？,武汉大学简帛研究中心,武汉大学简帛研究中心 ||| 创立 ||| 2003年
65,古神道的作品名字是什么啊？,古神道,古神道 ||| 作品别名 ||| 太古神道
66,你知道普鲁卡因的不良反应是什么？,普鲁卡因,普鲁卡因 ||| 不良反应 ||| 可引起不安、飘浮感、口周感觉异常
67,你知道厨子戏子痞子票房是多少吗？,厨子戏子痞子,厨子戏子痞子 ||| 票房 ||| 2.7亿
68,我想知道MIXION签了哪家经纪公司？,MIXION,MIXION ||| 经纪公司 ||| 齐石传播
69,农村人民公社工作条例何时通过的？,农村人民公社工作条例,农村人民公社工作条例 ||| 通过时间 ||| 1962年9月27日
70,你知道油鱼在二名法里叫什么吗？,油鱼,油鱼（鲤科泉水鱼属动物） ||| 二名法 ||| Semilabeo prochilus Sauvage et Dabry
71,请问游乐代表着什么颜色？,游乐,游乐（《巴啦啦小魔仙》系列的角色） ||| 代表色 ||| 深蓝色
72,你知道闪电狼职业电竞队是什么时候解散的吗,闪电狼职业电竞队,闪电狼职业电竞队 ||| 解散时间 ||| 2019年12月14日
73,约拿·马科维茨是做什么的?,约拿·马科维茨,约拿·马科维茨 ||| 职业 ||| 导演
74,我想知道大同组原来叫什么啊？,大同组,大同组 ||| 原称 ||| 大同煤系
75,请问信阳师范学院学报的主办方是谁？,信阳师范学院学报,信阳师范学院学报 ||| 主办 ||| 信阳师范学院
76,告诉我谱代家臣的制度？,谱代家臣,谱代家臣（日本古代制度） ||| 制度 ||| 御家人和非御家人
77,音波有哪些品质？,音波,音波（游戏《第五人格》中的时装） ||| 品质 ||| 奇珍
78,魔术师饰演的角色名字叫什么？,魔术师,魔术师（美国漫威漫画旗下超级反派） ||| 饰演 ||| 邪恶魔法师
79,重庆三峡学院有多少个专业？,重庆三峡学院,重庆三峡学院 ||| 本科专业 ||| 62个
80,我想知道王化东是哪个运动队的？,王化东,王化东（中国篮球运动员） ||| 所属运动队 ||| 辽宁沈阳三生飞豹篮球俱乐部
81,大白鲨获得的奖项主要有什么来着？,大白鲨,大白鲨（Sheamus） ||| 主要奖项 ||| WWE冠军×2世界重量级冠军×1美国冠军×2
82,水果星球获得过什么奖项？,水果星球,水果星球 ||| 获得奖项 ||| 2020年星光大赏年度潜质乐团
83,德雷利在哪里出生的？,德雷利,德雷利 ||| 出生地 ||| 特拉布松（土耳其）
84,你知道治淮的国际刊号是多少吗？,治淮,治淮 ||| 国际刊号 ||| 1001-9243
85,庞德需要多少费用？,庞德,庞德（《阵面对决》中的卡牌） ||| 费用 ||| 6
86,南京理工大学学报多长时间出版一期？,南京理工大学学报,南京理工大学学报 ||| 出版周期 ||| 双月
87,北土城站是什么样的站厅？,北土城站,北土城站 ||| 站厅形式 ||| 整体式站厅（两线共用）
88,小乔属于哪种难度程度？,小乔,小乔（MOBA端游《英魂之刃》里的一名法师类的英雄） ||| 难度 ||| 偏难
89,谁知道丁公路北站隶属于哪里？,丁公路北站,丁公路北站 ||| 隶属 ||| 南昌地铁1号线、南昌地铁4号线
90,你知道葛城忍人今年多大了吗？,葛城忍人,葛城忍人 ||| 年龄 ||| 21岁
91,台上台下在什么网站上播出啊？,台上台下,台上台下（2002年崔砚君、冯巩、李艺创作的相声） ||| 播出平台 ||| 中央电视台综合频道等
92,注册信贷分析师是哪个机构出台的？,注册信贷分析师,注册信贷分析师 ||| 机构 ||| 银行
93,请问哥伦比亚是在哪一天建立的？,哥伦比亚,哥伦比亚（哥伦比亚共和国） ||| 国庆日 ||| 7月20日（独立日）
94,洛湛铁路的通车时间是什么时候？,洛湛铁路,洛湛铁路 ||| 通车时间 ||| 2011年7月18日
95,破镜重圆是由谁作画的？,破镜重圆,破镜重圆（ほしの瑞希著作漫画） ||| 作画 ||| ほしの瑞希
96,向瑛文化程度怎样？,向瑛,向瑛 ||| 文化 ||| 大专文化
97,你知道叶月渚擅长什么吗？,叶月渚,叶月渚 ||| 擅长 ||| 蛙泳
98,你知道玛丽的性别吗？,玛丽,玛丽（游戏《第五人格》中的监管者角色） ||| 性别 ||| 女
99,请问中共太原支部旧址的建筑面积有多大？,中共太原支部旧址,中共太原支部旧址 ||| 建筑面积 ||| 5820 m²
